Period	Document Number	Item	Transaction Bin Quantity	Transfer Type	Source Bin Number	Destination Bin Number
Apr 2024	BINT113398	CTX20L-BS	120	Inbound Staging	QDCIN1	Q230338
Apr 2024	BINT113399	CB14L-A2	144	Inbound Staging	QDCIN1	Q230337
Apr 2024	BINT113400	CTX20HL-BS	120	Inbound Staging	QDCIN1	Q230239
Apr 2024	BINT113401	CTX5L-BS	360	Inbound Staging	QDCIN1	Q230238
Apr 2024	BINT113402	CTX20HL-BS	120	Inbound Staging	QDCIN1	Q240341
Apr 2024	BINT113403	CTX20L-BS	120	Inbound Staging	QDCIN1	Q240342
Apr 2024	BINT113407	CTX14AH-BS	144	Inbound Staging	QDCIN1	Q230438
Apr 2024	BINT113409	CTX20L-BS	120	Inbound Staging	QDCIN1	Q230437
Apr 2024	BINT113410	CB14A-A2	144	Inbound Staging	QDCIN1	Q240443
Apr 2024	BINT113412	CTX12-BS	210	Inbound Staging	QDCIN1	Q240442
Apr 2024	BINT113413	CTX14-BS	210	Inbound Staging	QDCIN1	Q240441
Apr 2024	BINT113415	CTX20L-BS	120	Inbound Staging	QDCIN1	Q240440
Apr 2024	BINT113416	CTX20HL-BS	120	Inbound Staging	QDCIN1	Q240439
Apr 2024	BINT113444	CT12B-BS	72	Inbound Staging	QDCIN1	Q180236
Apr 2024	BINT113448	CTX7L-BS	180	Inbound Staging	QDCIN1	Q180212
Apr 2024	BINT113450	CTX20H-BS	60	Inbound Staging	QDCIN1	Q180149
Apr 2024	BINT113453	CTX20CH-BS	72	Inbound Staging	QDCIN1	Q180148
Apr 2024	BINT113454	D12350D	100	Inbound Staging	QDCIN2	Q240307
Apr 2024	BINT113456	D1272	540	Inbound Staging	QDCIN2	Q240313
Apr 2024	BINT113457	D1272F2	540	Inbound Staging	QDCIN2	Q240210
Apr 2024	BINT113458	35AGM	78	Inbound Staging	QDCIN2	Q200124
Apr 2024	BINT113459	46B24RAGM	128	Inbound Staging	QDCIN2	Q200138
Apr 2024	BINT113460	D121000BE	42	Inbound Staging	QDCIN2	Q250202
Apr 2024	BINT113461	D1272F2	540	Inbound Staging	QDCIN2	Q240208
Apr 2024	BINT113463	CR123A	25	Inbound Staging	QDCIN2	Q270141
Apr 2024	BINT113464	BLS-5032	9	Inbound Staging	QDCIN2	Q270141
Apr 2024	BINT113465	MB9U	3	Inbound Staging	QDCIN2	Q170102
Apr 2024	BINT113466	65AGM	22	Inbound Staging	QDCIN2	Q210102
Apr 2024	BINT113467	EV512A-210FT	8	Inbound Staging	QDCIN2	Q270121
Apr 2024	BINT113468	CTZ10S-BS	72	Inbound Staging	QDCIN1	Q180218
Apr 2024	BINT113469	CTX30L-BS	90	Inbound Staging	QDCIN1	Q180245
Apr 2024	BINT113490	51R-4	128	Inbound Staging	QDCIN1	Q210237
Apr 2024	BINT113491	51R-4	128	Inbound Staging	QDCIN1	Q210436
Apr 2024	BINT113492	51R-4	128	Inbound Staging	QDCIN1	Q210430
Apr 2024	BINT113493	51R-4	128	Inbound Staging	QDCIN1	Q210429
Apr 2024	BINT113494	51R-4	128	Inbound Staging	QDCIN1	Q210428
Apr 2024	BINT113495	51R-4	128	Inbound Staging	QDCIN1	Q210427
Apr 2024	BINT113496	51R-4	128	Inbound Staging	QDCIN1	Q210425
Apr 2024	BINT113497	51R-4	128	Inbound Staging	QDCIN1	Q210437
Apr 2024	BINT113498	51R-4	128	Inbound Staging	QDCIN1	Q210438
Apr 2024	BINT113499	51R-4	128	Inbound Staging	QDCIN1	Q210439
Apr 2024	BINT113500	51R-4	128	Inbound Staging	QDCIN1	Q210442
Apr 2024	BINT113501	51R-4	128	Inbound Staging	QDCIN1	Q210235
Apr 2024	BINT113502	31A-9	60	Inbound Staging	QDCIN1	Q190301
Apr 2024	BINT113503	31A-9	60	Inbound Staging	QDCIN1	Q190202
Apr 2024	BINT113504	31A-9	60	Inbound Staging	QDCIN1	Q190304
Apr 2024	BINT113505	31A-9	60	Inbound Staging	QDCIN1	Q190407
Apr 2024	BINT113506	31A-9	60	Inbound Staging	QDCIN1	Q190408
Apr 2024	BINT113507	31A-9	60	Inbound Staging	QDCIN1	Q190309
Apr 2024	BINT113508	31A-9	60	Inbound Staging	QDCIN1	Q190413
Apr 2024	BINT113509	31A-9	60	Inbound Staging	QDCIN1	Q190313
Apr 2024	BINT113510	31A-9	60	Inbound Staging	QDCIN1	Q190414
Apr 2024	BINT113511	31A-9	60	Inbound Staging	QDCIN1	Q200313
Apr 2024	BINT113512	31A-9	60	Inbound Staging	QDCIN1	Q200214
Apr 2024	BINT113513	31A-9	60	Inbound Staging	QDCIN1	Q190204
Apr 2024	BINT113515	EV31A-AM-VN	34	Inbound Staging	QDCIN1	Q240131
Apr 2024	BINT113209	MBTX20UHD	24	Inbound Staging	QDCIN1	Q180105
Apr 2024	BINT113210	D12260	24	Inbound Staging	QDCIN1	Q240103
Apr 2024	BINT113211	D12600DE	4	Inbound Staging	QDCIN1	Q240113
Apr 2024	BINT113212	D1232	20	Inbound Staging	QDCIN1	Q240104
Apr 2024	BINT113213	D1290F2	220	Inbound Staging	QDCIN1	Q240118
Apr 2024	BINT113214	D12120	64	Inbound Staging	QDCIN1	Q250103
Apr 2024	BINT113217	RV24	66	Inbound Staging	QDCIN1	Q210247
Apr 2024	BINT113218	H7-5CM	54	Inbound Staging	QDCIN1	Q220216
Apr 2024	BINT113219	H6-5CM	66	Inbound Staging	QDCIN1	Q220414
Apr 2024	BINT113245	75-6MF	66	Inbound Staging	QDCIN1	Q210316
Apr 2024	BINT113248	RV24	66	Inbound Staging	QDCIN1	Q210342
Apr 2024	BINT113249	H7-5CM	54	Inbound Staging	QDCIN1	Q210317
Apr 2024	BINT113251	H7-5CM	54	Inbound Staging	QDCIN1	Q210418
Apr 2024	BINT113254	H7-5CM	54	Inbound Staging	QDCIN1	Q210412
Apr 2024	BINT113258	H7-5CM	54	Inbound Staging	QDCIN1	Q220408
Apr 2024	BINT113260	35-6MFCM	66	Inbound Staging	QDCIN1	Q200120
Apr 2024	BINT113261	51R-4CM	72	Inbound Staging	QDCIN1	Q210337
Apr 2024	BINT113262	H7-5CM	54	Inbound Staging	QDCIN1	Q220407
Apr 2024	BINT113263	H7-5CM	54	Inbound Staging	QDCIN1	Q220405
Apr 2024	BINT113264	RV24	66	Inbound Staging	QDCIN1	Q210347
Apr 2024	BINT113265	RV24	66	Inbound Staging	QDCIN1	Q210348
Apr 2024	BINT113266	RV24	66	Inbound Staging	QDCIN1	Q210349
Apr 2024	BINT113267	RV24	66	Inbound Staging	QDCIN1	Q210350
Apr 2024	BINT113319	4DLT-4	30	Inbound Staging	QDCIN1	Q200341
Apr 2024	BINT113321	5D-1000-AB	8	Inbound Staging	QDCIN1	Q220242
Apr 2024	BINT113323	8DMDC1400-AB	12	Inbound Staging	QDCIN1	Q230303
Apr 2024	BINT113325	8D1400-AB	16	Inbound Staging	QDCIN1	Q230203
Apr 2024	BINT113326	8D1400-AB	16	Inbound Staging	QDCIN1	Q240301
Apr 2024	BINT113327	4DLT-4	30	Inbound Staging	QDCIN1	Q190343
Apr 2024	BINT113328	31T925-AB	54	Inbound Staging	QDCIN1	Q220240
Apr 2024	BINT113329	31T925-AB	54	Inbound Staging	QDCIN1	Q220232
Apr 2024	BINT113330	31T750-AB	54	Inbound Staging	QDCIN1	Q220230
Apr 2024	BINT113331	4DLT-4	13	Inbound Staging	QDCIN1	Q190249
Apr 2024	BINT113332	31T925-AB	54	Inbound Staging	QDCIN1	Q220328
Apr 2024	BINT113333	31T700-AB	54	Inbound Staging	QDCIN1	Q220228
Apr 2024	BINT113334	2-4	36	Inbound Staging	QDCIN1	Q190113
Apr 2024	BINT113335	4DLT-4	30	Inbound Staging	QDCIN1	Q200327
Apr 2024	BINT113336	8D1400-AB	16	Inbound Staging	QDCIN1	Q240302
Apr 2024	BINT113337	31T700-AB	54	Inbound Staging	QDCIN1	Q220326
Apr 2024	BINT113339	4D1000-AB	10	Inbound Staging	QDCIN1	Q220242
Apr 2024	BINT113346	CTX20HL-BS	120	Inbound Staging	QDCIN1	Q230342
Apr 2024	BINT113347	CTX14-BS	210	Inbound Staging	QDCIN1	Q230341
Apr 2024	BINT113349	CB16CL-B	120	Inbound Staging	QDCIN1	Q230340
Apr 2024	BINT113351	CTX14AH-BS	144	Inbound Staging	QDCIN1	Q230339
Apr 2024	BINT113099	31T750-AB	54	Inbound Staging	QDCIN1	Q220239
Apr 2024	BINT113100	4D1000-AB	20	Inbound Staging	QDCIN1	Q220243
Apr 2024	BINT113101	4D1000-AB	20	Inbound Staging	QDCIN1	Q220342
Apr 2024	BINT113102	31T750-AB	54	Inbound Staging	QDCIN1	Q220241
Apr 2024	BINT113103	8D1155-AB	16	Inbound Staging	QDCIN1	Q230305
Apr 2024	BINT113105	8D1155-AB	16	Inbound Staging	QDCIN1	Q240204
Apr 2024	BINT113106	8D1400-AB	12	Inbound Staging	QDCIN1	Q230206
Apr 2024	BINT113107	1-4	72	Inbound Staging	QDCIN1	Q200305
Apr 2024	BINT113109	8D1155-AB	16	Inbound Staging	QDCIN1	Q240202
Apr 2024	BINT113120	CR123A	50	Inbound Staging	QDCIN1	Q270143
Apr 2024	BINT113122	CT9B-BS	4	Inbound Staging	QDCIN1	Q180137
Apr 2024	BINT113130	D12120D	12	Inbound Staging	QDCIN1	Q250105
Apr 2024	BINT113132	D12260	6	Inbound Staging	QDCIN1	Q240103
Apr 2024	BINT113137	MBTX24U	3	Inbound Staging	QDCIN1	Q180106
Apr 2024	BINT113143	EV512A-210FT	5	Inbound Staging	QDCIN1	Q240238
Apr 2024	BINT113145	PV-10-BLK	500	Inbound Staging	QDCIN1	Q270139
Apr 2024	BINT113147	N100-4	5	Inbound Staging	QDCIN1	Q210152
Apr 2024	BINT113148	N120R-4	5	Inbound Staging	QDCIN1	Q210148
Apr 2024	BINT113152	D12350	100	Inbound Staging	QDCIN1	Q240305
Apr 2024	BINT113153	GC2BOX	5	Inbound Staging	QDCIN1	Q270127
Apr 2024	BINT113154	MBTX14AU	20	Inbound Staging	QDCIN1	Q180103
Apr 2024	BINT113155	MBTX12U	16	Inbound Staging	QDCIN1	Q170103
Apr 2024	BINT113156	D1272F2	80	Inbound Staging	QDCIN1	Q240115
Apr 2024	BINT113158	D12450	10	Inbound Staging	QDCIN1	Q240107
Apr 2024	BINT113159	D12450D	6	Inbound Staging	QDCIN1	Q240108
Apr 2024	BINT113161	D1250F2	200	Inbound Staging	QDCIN1	Q240110
Apr 2024	BINT113162	D1290F2	270	Inbound Staging	QDCIN1	Q240118
Apr 2024	BINT113164	D12600DE	8	Inbound Staging	QDCIN1	Q240113
Apr 2024	BINT113165	PS-1220	10	Inbound Staging	QDCIN1	Q270143
Apr 2024	BINT113166	CTX20-BS	20	Inbound Staging	QDCIN1	Q180147
Apr 2024	BINT113167	8010-044	8	Inbound Staging	QDCIN1	Q230112
Apr 2024	BINT113168	746X915	3	Inbound Staging	QDCIN1	Q270132
Apr 2024	BINT113169	IC70MM/300MM	10	Inbound Staging	QDCIN1	Q270139
Apr 2024	BINT113170	MC61759	1000	Inbound Staging	QDCIN1	Quebec DC
Apr 2024	BINT113173	VESCC110030210	5	Inbound Staging	QDCIN1	Q270136
